Date,Real GDP Growth,Real Disposable Income Growth,Unemployment Rate,CPI Inflation Rate,3 Month Treasury,5 Year Treasury,10 Year Treausry,BBB Corporate Yield,Mortgage Rate,Prime Rate,House Price Index pct chg,Commercial Real Estate Price Index pct chg,Market Volatility Index (VIX) pct chg,Dow Jones Total Stock Market Index pct chg
2006 Q3,0.4,1.2,4.6,3.8,4.9,4.8,5,6.4,6.6,8.3,-1.055276382,5.804624823,-21.8487395,4.009711997
2006 Q4,3.2,5.3,4.4,-1.6,4.9,4.6,4.7,6.1,6.2,8.3,0.203148807,-1.382694023,-31.72043011,6.705197973
2007 Q1,0.3,2.7,4.5,4,5,4.6,4.8,6.1,6.2,8.3,-0.861632032,5.517865219,54.33070866,0.97215774
2007 Q2,3.1,0.8,4.5,4.6,4.7,4.7,4.9,6.3,6.4,8.3,-2.198364008,3.514787827,-3.571428571,5.636756305
2007 Q3,2.7,1,4.7,2.6,4.3,4.5,4.8,6.5,6.6,8.2,-2.822791427,6.749482402,62.96296296,1.020239925
2007 Q4,1.5,0.3,4.8,5,3.4,3.8,4.4,6.4,6.2,7.5,-3.066164605,0.930954228,0.974025974,-3.683296557
2008 Q1,-2.7,2.9,5,4.4,2.1,2.8,3.9,6.5,5.9,6.2,-3.385127636,-2.536510377,3.536977492,-9.960280881
2008 Q2,2,8.7,5.3,5.3,1.6,3.2,4.1,6.8,6.1,5.1,-4.480183802,-4.534700315,-25.1552795,-2.015191093
2008 Q3,-2,-8.8,6,6.3,1.5,3.1,4.1,7.2,6.3,5,-4.0288635,1.941346551,93.77593361,-9.145385821
2008 Q4,-8.3,2.5,6.9,-8.9,0.3,2.2,3.7,9.4,5.8,4.1,-4.761904762,-6.037277147,73.23340471,-23.41704718
2009 Q1,-5.4,-1.4,8.3,-2.6,0.2,1.9,3.2,9,5.1,3.3,-5.065789474,-8.92626132,-29.91347342,-11.17956872
2009 Q2,-0.4,3,9.3,2,0.2,2.3,3.7,8.2,5,3.3,-1.386001386,-16.95075758,-25.3968254,16.14330822
2009 Q3,1.3,-4,9.6,3.5,0.2,2.5,3.8,6.8,5.1,3.3,1.054111033,-9.521094641,-26.00472813,15.73404119
2009 Q4,3.9,-0.1,9.9,3.1,0.1,2.3,3.7,6.1,4.9,3.3,0.556328234,-0.441083806,-1.916932907,5.292801125
2010 Q1,1.6,0.3,9.8,0.7,0.1,2.4,3.9,5.8,5,3.3,0.484094053,-3.037974684,-11.07491857,5.686379566
2010 Q2,3.9,5.3,9.6,-0.2,0.1,2.3,3.6,5.6,4.9,3.3,0,10.18276762,67.76556777,-11.52462082
2010 Q3,2.8,1.9,9.5,1.4,0.2,1.6,2.9,5.1,4.4,3.3,-2.064693737,1.362559242,-28.16593886,10.9733416
2010 Q4,2.8,2.6,9.5,3,0.1,1.5,3,5,4.4,3.3,-1.475755446,3.915838691,-28.57142857,11.15202302
2011 Q1,-1.3,5,9,4.4,0.1,2.1,3.5,5.4,4.8,3.3,-0.92724679,3.937007874,25.10638298,5.917069642
2011 Q2,3.2,-0.4,9,4.7,0,1.8,3.3,5.1,4.7,3.3,-1.007919366,-1.623376623,-22.78911565,-0.467340116
2011 Q3,1.4,1.6,9,2.9,0,1.1,2.5,4.9,4.3,3.3,-0.218181818,0.110011001,111.4537445,-15.65355582
2011 Q4,4.9,-0.6,8.7,1.4,0,1,2.1,5,4,3.3,-0.655976676,7.252747253,-5.208333333,11.50002141
2012 Q1,3.7,4.6,8.3,2.3,0.1,0.9,2.1,4.7,3.9,3.3,1.614086574,-0.870901639,-49.45054945,12.35243062
2012 Q2,1.2,1.8,8.2,1,0.1,0.8,1.8,4.5,3.8,3.3,2.093862816,0.103359173,16.08695652,-3.604853871
2012 Q3,2.8,-0.6,8,2.1,0.1,0.7,1.6,4.2,3.6,3.3,1.768033946,3.820340733,-23.22097378,5.634671849
2012 Q4,0.1,9,7.8,2.2,0.1,0.7,1.7,3.9,3.4,3.3,2.015288395,1.044256589,10.73170732,-0.401485092
2013 Q1,1.1,-7.9,7.7,1.4,0.1,0.8,1.9,4,3.5,3.3,3.950953678,1.082677165,-16.29955947,10.5245064
2013 Q2,2.5,3.5,7.6,0,0.1,0.9,2,4.1,3.7,3.3,3.407601573,4.333008763,7.894736842,2.287725205
2013 Q3,2,1.7,7.3,2.3,0,1.5,2.7,4.9,4.4,3.3,0.633713561,1.259916006,-17.07317073,5.646550953
